category,question,type,required
Financement et ressources financières,Existe-t-il des partenariats financiers avec des entreprises ou des organisations ?,text,False
Financement et ressources financières,Quel est le montant des frais de scolarité et comment sont-ils déterminés ?,text,True
Financement et ressources financières,L'université propose-t-elle des bourses ou des aides financières aux étudiants ?,text,False
Financement et ressources financières,Comment l'université assure-t-elle la transparence et la responsabilité financière ?,text,True
Impact communautaire et régional,Comment l'université contribue-t-elle au développement économique et social de la région ?,text,True
Impact communautaire et régional,L'université propose-t-elle des programmes ou des initiatives pour la communauté locale ?,text,False
Impact communautaire et régional,Comment l'université collabore-t-elle avec les entreprises et les organisations locales ?,text,True
Impact communautaire et régional,Quel est l'impact des recherches menées par l'université sur la communauté ?,text,False
Impact communautaire et régional,L'université participe-t-elle à des projets de développement durable dans la région ?,text,False
Impact communautaire et régional,Comment l'université mesure-t-elle son impact sur la communauté et la région ?,text,True
Impact communautaire et régional,Quels sont les défis rencontrés par l'université dans son engagement communautaire ?,text,False
